,,,Questions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 10,doesnt matter,zebra,disagree,agree,strongly disagree,disagree,louder,doesnt matter,disagree,strongly disagree,slightly disagree,strongly disagree,disagree,faster,doesnt matter,moderately agree,agree,slightly disagree,slightly disagree,stop signs,doesnt matter,agree,strongly agree,strongly disagree,agree,doesnt matter,lower,neither,slightly disagree,moderately disagree,disagree,disagree,doesnt matter,further away,strongly agree,disagree,strongly disagree,strongly agree
Participant 11,black,zebra,agree,neither,slightly disagree,moderately agree,louder,doesnt matter,agree,disagree,slightly disagree,disagree,agree,slower,doesnt matter,slightly agree,strongly agree,slightly disagree,neither,stop signs,brighter,agree,agree,disagree,slightly disagree,were not,lower,agree,disagree,slightly agree,slightly agree,disagree,defensively,further away,strongly disagree,slightly disagree,agree,agree
Participant 12,doesnt matter,zebra,strongly disagree,slightly agree,neither,strongly agree,louder,doesnt matter,strongly disagree,strongly disagree,moderately agree,strongly disagree,disagree,doesnt matter,doesnt matter,moderately agree,strongly agree,disagree,slightly disagree,stop signs,doesnt matter,agree,strongly agree,neither,agree,doesnt matter,lower,moderately agree,disagree,neither,disagree,agree,defensively,further away,disagree,disagree,disagree,strongly agree
Participant 13,black,zebra,slightly disagree,disagree,slightly agree,agree,louder,doesnt matter,disagree,strongly disagree,agree,slightly agree,slightly disagree,doesnt matter,smaller,slightly agree,agree,slightly disagree,slightly disagree,stop signs,doesnt matter,slightly agree,slightly agree,neither,slightly agree,doesnt matter,doesnt matter,strongly agree,slightly disagree,slightly disagree,slightly disagree,slightly agree,defensively,further away,strongly agree,slightly disagree,slightly disagree,strongly agree
Participant 14,doesnt matter,zebra,disagree,agree,slightly disagree,moderately agree,louder,lighter,disagree,disagree,slightly disagree,disagree,neither,slower,doesnt matter,moderately agree,agree,slightly agree,slightly disagree,stop signs,brighter,agree,agree,slightly disagree,slightly agree,were not,lower,moderately agree,disagree,moderately agree,disagree,moderately agree,defensively,further away,slightly agree,slightly disagree,slightly agree,strongly agree
Participant 15,doesnt matter,zebra,strongly disagree,agree,strongly disagree,slightly disagree,louder,doesnt matter,disagree,disagree,moderately agree,moderately disagree,agree,slower,smaller,agree,strongly agree,neither,slightly agree,stop signs,doesnt matter,agree,strongly agree,neither,slightly disagree,were not,lower,slightly agree,slightly disagree,moderately disagree,disagree,slightly disagree,defensively,further away,disagree,slightly agree,agree,agree
Participant 16,doesnt matter,zebra,moderately disagree,moderately agree,slightly disagree,moderately agree,doesnt matter,lighter,agree,moderately disagree,agree,slightly agree,slightly agree,doesnt matter,doesnt matter,moderately agree,agree,moderately disagree,moderately agree,stop signs,doesnt matter,slightly agree,agree,moderately disagree,neither,were not,lower,slightly agree,slightly disagree,slightly agree,moderately disagree,moderately agree,defensively,further away,slightly agree,slightly agree,moderately disagree,moderately agree
Participant 17,doesnt matter,zebra,disagree,agree,disagree,agree,doesnt matter,doesnt matter,disagree,disagree,agree,disagree,disagree,doesnt matter,doesnt matter,neither,strongly agree,disagree,disagree,stop signs,doesnt matter,neither,agree,neither,agree,were not,lower,agree,disagree,neither,disagree,disagree,defensively,doesnt matter,disagree,disagree,strongly disagree,strongly agree
Participant 18,doesnt matter,zebra,disagree,agree,moderately disagree,moderately agree,louder,doesnt matter,slightly disagree,disagree,moderately agree,moderately disagree,neither,slower,doesnt matter,slightly agree,agree,disagree,slightly disagree,stop signs,brighter,agree,strongly agree,slightly agree,slightly agree,were not,lower,agree,disagree,moderately disagree,moderately disagree,slightly disagree,defensively,further away,moderately disagree,slightly agree,disagree,strongly agree
Participant 19,doesnt matter,zebra,neither,slightly agree,moderately disagree,moderately agree,louder,lighter,strongly disagree,slightly agree,neither,disagree,agree,doesnt matter,doesnt matter,agree,strongly agree,agree,disagree,doesnt matter,brighter,neither,agree,moderately agree,neither,doesnt matter,lower,agree,moderately disagree,neither,strongly disagree,moderately disagree,defensively,further away,strongly agree,strongly agree,agree,strongly agree
Participant 20,doesnt matter,zebra,strongly disagree,moderately agree,agree,moderately agree,louder,doesnt matter,disagree,disagree,agree,slightly disagree,disagree,doesnt matter,doesnt matter,agree,disagree,disagree,disagree,stop signs,brighter,disagree,agree,neither,agree,were not,lower,agree,disagree,disagree,disagree,agree,defensively,further away,strongly disagree,disagree,agree,strongly agree
Participant 21,doesnt matter,zebra,moderately disagree,slightly agree,slightly agree,moderately agree,louder,doesnt matter,moderately disagree,disagree,slightly agree,moderately disagree,moderately agree,slower,doesnt matter,agree,strongly agree,moderately disagree,slightly disagree,stop signs,brighter,moderately agree,agree,slightly agree,slightly agree,were not,lower,agree,disagree,slightly disagree,strongly disagree,moderately agree,defensively,further away,moderately agree,slightly agree,disagree,agree
Participant 22,black,zebra,disagree,agree,strongly disagree,moderately disagree,doesnt matter,doesnt matter,agree,moderately disagree,neither,strongly agree,agree,doesnt matter,larger,agree,strongly agree,disagree,moderately agree,stop signs,brighter,slightly agree,strongly agree,disagree,agree,were not,lower,moderately disagree,disagree,agree,disagree,agree,defensively,further away,strongly disagree,slightly agree,moderately agree,strongly agree
Participant 23,black,zebra,moderately disagree,slightly disagree,slightly disagree,slightly agree,louder,doesnt matter,slightly disagree,moderately disagree,disagree,disagree,agree,doesnt matter,doesnt matter,agree,moderately agree,slightly disagree,slightly disagree,stop signs,doesnt matter,agree,agree,neither,moderately agree,were not,doesnt matter,moderately agree,disagree,neither,moderately disagree,agree,defensively,doesnt matter,slightly disagree,moderately disagree,slightly disagree,strongly agree
Participant 24,doesnt matter,zebra,disagree,slightly agree,moderately disagree,slightly agree,doesnt matter,lighter,neither,slightly disagree,slightly disagree,slightly disagree,disagree,doesnt matter,smaller,slightly disagree,slightly agree,moderately disagree,slightly disagree,stop signs,doesnt matter,slightly agree,slightly disagree,slightly disagree,slightly disagree,doesnt matter,doesnt matter,slightly agree,slightly disagree,slightly agree,slightly agree,moderately disagree,defensively,further away,slightly disagree,slightly disagree,moderately disagree,slightly agree
Participant 25,black,zebra,disagree,moderately agree,moderately disagree,slightly agree,louder,doesnt matter,slightly agree,moderately disagree,moderately disagree,moderately disagree,slightly agree,slower,doesnt matter,agree,agree,disagree,slightly agree,stop signs,doesnt matter,agree,moderately agree,neither,moderately agree,were not,lower,agree,disagree,slightly agree,moderately disagree,agree,defensively,further away,moderately disagree,moderately disagree,slightly disagree,strongly agree
